	auc	binaryaccuracy	precision	recall	seed
0	0.5	0.4000000059604645	0.0	0.0	42
1	0.5	0.6000000238418579	0.0	0.0	42
2	0.5	0.6000000238418579	0.0	0.0	42
3	0.5	0.6000000238418579	0.0	0.0	42
4	0.5	0.800000011920929	0.0	0.0	42
5	0.5	0.800000011920929	0.0	0.0	42
6	0.5	0.6000000238418579	0.0	0.0	42
7	0.5	0.75	0.0	0.0	42
8	0.5	0.25	0.0	0.0	42
9	0.0	0.25	0.0	0.0	42
10	0.5	0.20000000298023224	0.0	0.0	135
11	0.0	0.0	0.0	0.0	135
12	0.0	0.20000000298023224	0.0	0.0	135
13	0.3333333134651184	0.4000000059604645	0.0	0.0	135
14	0.5	0.4000000059604645	0.0	0.0	135
15	0.5	0.4000000059604645	0.0	0.0	135
16	1.0	1.0	1.0	1.0	135
17	0.5	0.75	0.0	0.0	135
18	0.5	0.75	0.0	0.0	135
19	0.5	0.5	0.0	0.0	135
20	0.5	0.800000011920929	0.0	0.0	23
21	0.5	0.6000000238418579	0.0	0.0	23
22	0.5	0.800000011920929	0.0	0.0	23
23	0.5	0.6000000238418579	0.0	0.0	23
24	0.5	0.6000000238418579	0.0	0.0	23
25	0.5	0.6000000238418579	0.0	0.0	23
26	0.5	0.6000000238418579	0.0	0.0	23
27	0.5	0.5	0.0	0.0	23
28	0.5	0.25	0.0	0.0	23
29	0.0	0.0	0.0	0.0	23
30	0.5	0.4000000059604645	0.0	0.0	7
31	0.5	0.6000000238418579	0.0	0.0	7
32	0.5	0.4000000059604645	0.0	0.0	7
33	0.5	0.6000000238418579	0.0	0.0	7
34	0.5	0.6000000238418579	0.0	0.0	7
35	0.375	0.6000000238418579	0.0	0.0	7
36	0.5	0.800000011920929	0.0	0.0	7
37	0.5	0.5	0.0	0.0	7
38	0.0	0.0	0.0	0.0	7
39	0.5	0.75	0.0	0.0	7
40	0.5	0.6000000238418579	0.0	0.0	49
41	0.5	0.800000011920929	0.0	0.0	49
42	0.5	0.6000000238418579	0.0	0.0	49
43	0.0	0.0	0.0	0.0	49
44	0.5	0.800000011920929	0.0	0.0	49
45	0.5	0.6000000238418579	0.0	0.0	49
46	0.5	0.20000000298023224	0.0	0.0	49
47	0.5	0.5	0.0	0.0	49
48	0.5	0.25	0.0	0.0	49
49	0.0	0.25	0.0	0.0	49
50	0.5	0.4000000059604645	0.0	0.0	1991
51	0.5	0.4000000059604645	0.0	0.0	1991
52	0.3333333134651184	0.4000000059604645	0.0	0.0	1991
53	0.5	0.4000000059604645	0.0	0.0	1991
54	0.0	0.0	0.0	0.0	1991
55	0.5	0.6000000238418579	0.0	0.0	1991
56	0.5	0.4000000059604645	0.0	0.0	1991
57	0.5	0.75	0.0	0.0	1991
58	0.0	0.25	0.0	0.0	1991
59	0.0	0.0	0.0	0.0	1991
60	0.5	0.800000011920929	0.0	0.0	1970
61	0.5	0.4000000059604645	0.0	0.0	1970
62	0.0	0.20000000298023224	0.0	0.0	1970
63	0.5	0.20000000298023224	0.0	0.0	1970
64	0.0	0.4000000059604645	0.0	0.0	1970
65	0.5	0.4000000059604645	0.0	0.0	1970
66	0.0	0.4000000059604645	0.0	0.0	1970
67	0.0	0.0	0.0	0.0	1970
68	0.0	0.0	0.0	0.0	1970
69	0.5	0.5	0.0	0.0	1970
70	0.5	0.6000000238418579	0.0	0.0	30
71	0.5	0.4000000059604645	0.0	0.0	30
72	0.5	0.800000011920929	0.0	0.0	30
73	0.5	0.6000000238418579	0.0	0.0	30
74	0.5	0.800000011920929	0.0	0.0	30
75	0.5	0.20000000298023224	0.20000000298023224	1.0	30
76	0.5	0.4000000059604645	0.0	0.0	30
77	0.5	0.5	0.0	0.0	30
78	0.5	0.75	0.0	0.0	30
79	0.5	0.75	0.0	0.0	30
80	0.5	0.6000000238418579	0.0	0.0	108
81	0.0	0.0	0.0	0.0	108
82	0.5	0.6000000238418579	0.0	0.0	108
83	0.5	0.20000000298023224	0.0	0.0	108
84	0.5	0.800000011920929	0.0	0.0	108
85	0.3333333134651184	0.4000000059604645	0.0	0.0	108
86	0.5	0.6000000238418579	0.0	0.0	108
87	0.5	0.75	0.0	0.0	108
88	0.5	0.25	0.0	0.0	108
89	0.0	0.0	0.0	0.0	108
90	0.5	0.6000000238418579	0.0	0.0	5
91	0.5	0.800000011920929	0.0	0.0	5
92	0.5	0.6000000238418579	0.0	0.0	5
93	0.5	0.4000000059604645	0.0	0.0	5
94	0.5	0.4000000059604645	0.0	0.0	5
95	0.5	0.800000011920929	0.0	0.0	5
96	0.3333333134651184	0.4000000059604645	0.0	0.0	5
97	0.5	0.75	0.0	0.0	5
98	0.5	0.5	0.0	0.0	5
99	0.0	0.25	0.0	0.0	5
